,precision,recall,f1-score,support
apple,1.0,1.0,1.0,19.0
banana,1.0,1.0,1.0,28.0
barley,0.16129032258064516,0.18518518518518517,0.1724137931034483,27.0
blackgram,1.0,1.0,1.0,25.0
chickpea,1.0,1.0,1.0,18.0
coconut,1.0,1.0,1.0,22.0
coffee,0.9354838709677419,1.0,0.9666666666666667,29.0
cotton,0.8108108108108109,0.6122448979591837,0.6976744186046512,49.0
grapes,1.0,1.0,1.0,16.0
jute,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
kidneybeans,1.0,1.0,1.0,26.0
lentil,0.96,1.0,0.9795918367346939,24.0
maize,0.7804878048780488,0.6808510638297872,0.7272727272727273,47.0
mango,1.0,1.0,1.0,25.0
mothbeans,1.0,1.0,1.0,17.0
mungbean,0.9642857142857143,1.0,0.9818181818181818,27.0
muskmelon,1.0,1.0,1.0,19.0
orange,1.0,1.0,1.0,21.0
papaya,1.0,1.0,1.0,22.0
pigeonpeas,1.0,1.0,1.0,28.0
pomegranate,1.0,1.0,1.0,27.0
rice,0.6666666666666666,0.5,0.5714285714285714,52.0
soybean,0.125,0.15384615384615385,0.13793103448275862,26.0
sugarcane,0.11428571428571428,0.19047619047619047,0.14285714285714285,21.0
watermelon,0.9642857142857143,1.0,0.9818181818181818,27.0
wheat,0.20833333333333334,0.22727272727272727,0.21739130434782608,22.0
accuracy,0.7994227994227994,0.7994227994227994,0.7994227994227994,0.7994227994227994
macro avg,0.8329402766720654,0.8275151330749437,0.8285531192505444,693.0
weighted avg,0.8209350015846588,0.7994227994227994,0.807601526185969,693.0
